"","x"
"1111","SNORD80"
"1112","DUSP5"
"1113","EVA1A"
"1114","CCNJ"
"1115","ETV1"
"1116","PLEKHG5"
"1117","FBXO38"
"1118","NME4"
"1119","HIST1H4K"
"1120","SH3GL3"
"1121","ASXL1"
"1122","APOE"
"1123","VARS"
"1124","TMEM259"
"1125","LOX"
"1126","MIR5188"
"1127","BBX"
"1128","TBC1D10C"
"1129","SNHG18"
"1130","FAM95C"
"1131","EYA1"
"1132","DRG1"
"1133","HSD17B13"
"1134","RBP5"
"1135","RPS6KA5"
"1136","MEPCE"
"1137","RPL9"
"1138","TMEM9B-AS1"
"1139","SLC25A30-AS1"
"1140","ACOT4"
"1141","HIST1H2AB"
"1142","ATP6V1A"
"1143","SPSB3"
"1144","SCAF8"
"1145","BICD1"
"1146","RNF180"
"1147","KIAA1522"
"1148","ARL15"
"1149","NKD2"
"1150","MEX3C"
"1151","ZC3H11A"
"1152","RALGPS1"
"1153","EIF4EBP3"
"1154","WNT11"
"1155","TOP2B"
"1156","PRDM1"
"1157","CLCN6"
"1158","NCOA1"
"1159","CPSF4"
"1160","NOP16"
"1161","SSBP3"
"1162","FGFR1OP2"
"1163","MCM3"
"1164","MIR3911"
"1165","PYCR2"
"1166","NFYB"
"1167","SYNM"
"1168","MYLK"
"1169","PDCL3"
"1170","HELZ2"
"1171","LINC00933"
"1172","AKR1B10"
"1173","CLIC2"
"1174","VEGFB"
"1175","RNMT"
"1176","GRIK4"
"1177","MYEF2"
"1178","ELAVL2"
"1179","CBR1"
"1180","ERCC3"
"1181","KIFC2"
"1182","PAPPA2"
"1183","GKAP1"
"1184","SLC26A1"
"1185","KIF21B"
"1186","POMT1"
"1187","WDR74"
"1188","MAST3"
"1189","KXD1"
"1190","GRAMD1A"
"1191","EIF3K"
"1192","LOC100289580"
"1193","TMEM258"
"1194","ERP29"
"1195","GMPR2"
"1196","SNX30"
"1197","DMAP1"
"1198","EMC6"
"1199","TAF10"
"1200","RNF26"
"1201","IL17RE"
"1202","ALOXE3"
"1203","LOC286437"
"1204","GATA6"
"1205","OPA3"
"1206","ZNHIT3"
"1207","STRN"
"1208","KHDRBS3"
"1209","SERPING1"
"1210","GALE"
"1211","TIMM50"
"1212","RNASET2"
"1213","SCGB1B2P"
"1214","CROCCP3"
"1215","ACAD8"
"1216","FAT3"
"1217","CARS2"
"1218","MECOM"
"1219","THRAP3"
"1220","PTBP2"
"1221","CHAF1B"
"1222","SF3B2"
"1223","MPC2"
"1224","TOMM22"
"1225","KCNJ14"
"1226","N6AMT1"
"1227","WHAMMP3"
"1228","CENPBD1"
"1229","PHLDB2"
"1230","MYBL2"
"1231","UBA52"
"1232","PPP2CB"
"1233","SIAE"
"1234","FER1L6-AS2"
"1235","TCF3"
"1236","ACP1"
"1237","TRIP11"
"1238","KIAA1549"
"1239","CHRNB1"
"1240","CLK4"
"1241","MPZL3"
"1242","INPP5B"
"1243","PPM1K"
"1244","CETN4P"
"1245","REST"
"1246","SMTN"
"1247","BTAF1"
"1248","ZNF491"
"1249","SMG1P7"
"1250","HNRNPUL1"
"1251","SCARB2"
"1252","EVPL"
"1253","RAB28"
"1254","ZNF3"
"1255","TBP"
"1256","TSPYL4"
"1257","ZNF488"
"1258","CDADC1"
"1259","RALA"
"1260","CD226"
"1261","KANSL1"
"1262","CMTM7"
"1263","LRRC24"
"1264","TMEM87A"
"1265","ROPN1B"
"1266","EEA1"
"1267","TSKU"
"1268","SEC61B"
"1269","GNG3"
"1270","TTC27"
"1271","LINC00910"
"1272","ZNF383"
"1273","DAPK2"
"1274","ZMPSTE24"
"1275","IQCE"
"1276","ABCB9"
"1277","RILPL1"
"1278","PRICKLE4"
"1279","ANKRD52"
"1280","SLC5A3"
"1281","ZBTB11-AS1"
"1282","LOC729732"
"1283","FAIM"
"1284","RNF19B"
"1285","ATP8B2"
"1286","ZNF92"
"1287","ZNF653"
"1288","PIK3C2A"
"1289","HCCS"
"1290","UBA7"
"1291","AP1M1"
"1292","ATP2B3"
"1293","GSK3B"
"1294","RTN2"
"1295","HTRA1"
"1296","HIST1H3A"
"1297","RAB5B"
"1298","ACAT2"
"1299","LGI3"
"1300","TPTE2P6"
"1301","LINC00641"
"1302","TAF7"
"1303","LOC155060"
"1304","STAB1"
"1305","CCDC51"
"1306","BTN2A2"
"1307","SLC38A7"
"1308","SNORD35A"
"1309","DUSP10"
"1310","METAP2"
"1311","METTL7A"
"1312","PDCD4-AS1"
"1313","KCND3"
"1314","LINC01140"
"1315","LIN54"
"1316","ZNF426"
"1317","C19orf38"
"1318","ZNF701"
"1319","NBAS"
